timestamp,event,symbol,side,price,qty,reason,pnl,day_pnl,extra
2025-08-25 09:39:22,AUTH_WARN,,,0.00,0,"Profile failed but quotes OK: {'s': 'error', 'code': 500, 'message': 'Looks like you are passing an invalid entry'}",0.00,0.00,
2025-08-25 09:39:22,SESSION_START,,,0.00,0,Today=2025-08-25 PrevCloseDate=2025-08-22 PrevNIFTYClose=24870.10,0.00,0.00,
2025-08-25 09:39:23,ORB_LEVELS,,,0.00,0,ORH=24961.35 ORL=24915.00 RSI=NA,0.00,0.00,
2025-08-25 09:39:23,MOMENTUM_SHIFT,,,0.00,0,RSI regime NA -> unknown (RSI=NA),0.00,0.00,
2025-08-25 09:39:23,PRICE_STATE,,,0.00,0,Zone NA -> inside_or (IDX=24964.50),0.00,0.00,
2025-08-25 09:39:23,SNAPSHOT,,,0.00,0,IDX=24964.50 ORH=24961.35 ORL=24915.00 HI_BUF=24973.83 LO_BUF=24902.54 RSI=NA Armed(L/S)=True/True CD=0s OpenPos=0,0.00,0.00,
2025-08-25 09:39:23,SNAPSHOT_POS,,,0.00,0,None,0.00,0.00,
2025-08-25 09:39:24,DIAG_NO_ENTRY,,,0.00,0,CE blocked: no_breakout_above_buffer | IDX=24964.50 RSI=NA,0.00,0.00,
2025-08-25 09:39:24,DIAG_NO_ENTRY,,,0.00,0,PE blocked: no_breakdown_below_buffer | IDX=24964.50 RSI=NA,0.00,0.00,
2025-08-25 09:44:02,SUMMARY,,,0.00,0,total,0.00,0.00,0
2025-08-25 09:44:02,SUMMARY,,,0.00,0,wins,0.00,0.00,0
2025-08-25 09:44:02,SUMMARY,,,0.00,0,losses,0.00,0.00,0
2025-08-25 09:44:02,SUMMARY,,,0.00,0,flats,0.00,0.00,0
2025-08-25 09:44:02,SUMMARY,,,0.00,0,win_rate,0.00,0.00,0.0
2025-08-25 09:44:02,SUMMARY,,,0.00,0,total_pnl,0.00,0.00,0
2025-08-25 09:44:02,SUMMARY,,,0.00,0,avg_pnl,0.00,0.00,0.0
2025-08-25 09:44:02,SUMMARY,,,0.00,0,avg_win,0.00,0.00,0.0
2025-08-25 09:44:02,SUMMARY,,,0.00,0,avg_loss,0.00,0.00,0.0
2025-08-25 09:44:02,SUMMARY,,,0.00,0,profit_factor,inf,0.00,inf
2025-08-25 09:44:02,SUMMARY,,,0.00,0,avg_hold,0.00,0.00,0.0
2025-08-25 09:44:02,SUMMARY,,,0.00,0,best,0.00,0.00,0.0
2025-08-25 09:44:02,SUMMARY,,,0.00,0,worst,0.00,0.00,0.0
2025-08-25 09:44:02,SUMMARY,,,0.00,0,max_drawdown,0.00,0.00,0.0
2025-08-25 09:44:05,AUTH_WARN,,,0.00,0,"Profile failed but quotes OK: {'s': 'error', 'code': 500, 'message': 'Looks like you are passing an invalid entry'}",0.00,0.00,
2025-08-25 09:44:06,SESSION_START,,,0.00,0,Today=2025-08-25 PrevCloseDate=2025-08-22 PrevNIFTYClose=24870.10,0.00,0.00,
2025-08-25 09:44:06,ORB_LEVELS,,,0.00,0,ORH=24961.35 ORL=24915.00 RSI=NA,0.00,0.00,
2025-08-25 09:44:07,MOMENTUM_SHIFT,,,0.00,0,RSI regime NA -> unknown (RSI=NA),0.00,0.00,
2025-08-25 09:44:07,PRICE_STATE,,,0.00,0,Zone NA -> inside_or (IDX=24971.35),0.00,0.00,
2025-08-25 09:44:07,SNAPSHOT,,,0.00,0,IDX=24971.35 ORH=24961.35 ORL=24915.00 HI_BUF=24973.83 LO_BUF=24902.54 RSI=NA Armed(L/S)=True/True CD=0s OpenPos=0,0.00,0.00,
2025-08-25 09:44:07,SNAPSHOT_POS,,,0.00,0,None,0.00,0.00,
2025-08-25 09:44:07,DIAG_NO_ENTRY,,,0.00,0,CE blocked: no_breakout_above_buffer | IDX=24971.35 RSI=NA,0.00,0.00,
2025-08-25 09:44:07,DIAG_NO_ENTRY,,,0.00,0,PE blocked: no_breakdown_below_buffer | IDX=24971.35 RSI=NA,0.00,0.00,
2025-08-25 09:59:08,SNAPSHOT,,,0.00,0,IDX=24926.55 ORH=24961.35 ORL=24915.00 HI_BUF=24973.83 LO_BUF=24902.54 RSI=NA Armed(L/S)=True/True CD=0s OpenPos=0,0.00,0.00,
